source_url,target_url,status_code,preserve_query_string,subpath_matching
hellomycab.com/jaipur-to-sosajet/,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-sosajet,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-jaisalmer-taxi/,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-jaisalmer-taxi,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-ahmedabad-taxi/,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-ahmedabad-taxi,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-haridwar-taxi/,https://www.hellomycabs.com/jaipur-to-haridwar-cab,301,false,false
hellomycab.com/jaipur-to-haridwar-taxi,https://www.hellomycabs.com/jaipur-to-haridwar-cab,301,false,false
hellomycab.com/jaipur-to-lucknow/,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-lucknow,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-kanpur/,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-kanpur,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-bareilly/,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-bareilly,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-aligarh/,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-aligarh,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-rishikesh/,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-rishikesh,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-meerut/,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-meerut,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-ganganagar/,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-ganganagar,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-jhunjhunu/,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-jhunjhunu,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
